timestamp,cut_number,cutter_id,spindle_speed,feed_rate,depth_of_cut,coolant,force_x_max,force_y_max,force_x_p2p,force_y_mean,vib_x_std,vib_x_max,vib_y_std,vib_x_kurtosis,vib_y_kurtosis,force_y_kurtosis,force_y_skewness,force_x_kurtosis,force,vibration,acoustic_emission,tool_wear,tool_health,rul,status,is_anomaly
2026-09-24 08:00:00,1,c1,10400,1555,1.5,Off,3.744,10.724,6.245,0.6294631041059976,0.0763493576607161,0.33,0.0763146487763662,0.1322931587713891,0.1254590894507941,5.844452277200279,-0.6822183460971171,-0.2451886548325785,11.359,0.1079,0.7271,48.89,72.8,314,NORMAL,0
2026-09-24 08:00:10,2,c1,10400,1555,1.5,Off,8.427,14.302,12.646,1.11858048275386,0.0853500415044748,0.399,0.0850265618796782,0.2751716034332574,0.2359823036412365,0.530867940611381,0.3658071594675578,0.0226391582826526,16.6,0.1205,0.5733,49.57,72.5,313,NORMAL,0
2026-09-24 08:00:20,3,c1,10400,1555,1.5,Off,11.534,20.826,17.528,2.347886262065681,0.0956411149267343,0.433,0.0938164897887096,0.2627204749701404,0.1945425738373396,0.8129799315681665,0.4872909137900053,0.0733174529786748,23.807,0.134,0.5829,50.3,72.1,312,NORMAL,0
2026-09-24 08:00:30,4,c1,10400,1555,1.5,Off,11.788,24.148,17.945,2.7214464651451973,0.0990315605852565,0.443,0.097125092508071,0.1919806995210118,0.14304333848147,0.6816227365759491,0.4938009044556586,0.1025479260629964,26.872,0.1387,0.5784,51.08,71.6,311,NORMAL,0
2026-09-24 08:00:40,5,c1,10400,1555,1.5,Off,12.555,24.337,16.843,2.3511685079978317,0.0836720948268031,0.447,0.0813495789214012,0.3030404597340741,0.253100745951262,0.4978230404091417,0.378872804855413,0.0169360476804767,27.385,0.1167,0.5785,52.25,71.0,310,NORMAL,0
2026-09-24 08:00:50,6,c1,10400,1555,1.5,Off,14.291,26.583,18.458,2.3327078950494866,0.0831992070077552,0.435,0.0810150300684212,0.426084869871,0.2560162737973561,0.55555199419218,0.4311968716784394,-0.0506472474151125,30.181,0.1161,0.592,56.28,68.7,309,NORMAL,0
2026-09-24 08:01:00,7,c1,10400,1555,1.5,Off,13.014,27.215,17.924,2.4431466218622444,0.0834012286325607,0.426,0.0817622287841802,0.4422554421809068,0.3245716952286042,0.5076366589901675,0.4289155233207326,0.0067080552387506,30.167,0.1168,0.5984,59.98,66.7,308,NORMAL,0
2026-09-24 08:01:10,8,c1,10400,1555,1.5,Off,13.322,26.872,17.469,2.5315786255149293,0.0858680630299356,0.419,0.0842751021520699,0.4650091561785667,0.342901520762787,0.505549323455722,0.4274042708017076,-0.0532296368266438,29.993,0.1203,0.6058,63.35,64.8,307,NORMAL,0
2026-09-24 08:01:20,9,c1,10400,1555,1.5,Off,10.615,26.321,16.231,2.546445781323237,0.0805165819401872,0.413,0.0771720439894779,0.2148407289373426,0.1403174757202485,0.411298629429611,0.3937327009440995,-0.5724889726933973,28.381,0.1115,0.6016,66.43,63.1,306,NORMAL,0
2026-09-24 08:01:30,10,c1,10400,1555,1.5,Off,10.99,25.764,17.066,2.525279571365929,0.0787302479895146,0.359,0.0756094449373366,0.2152612735792343,0.0926680753013813,0.4813317701981798,0.4203203934576612,-0.5150250610933815,28.01,0.1092,0.6093,69.22,61.5,305,NORMAL,0
