cut,max_wear
1,62.78864802
2,64.13604296
3,65.36527295
4,66.4868801
5,67.51080822
6,68.44642494
7,69.30254323
8,70.08744241
9,70.8088887
10,71.47415519
11,72.09004135
12,74.13432456
13,75.21507024
14,76.29581591
15,77.37656158
16,78.45730726
17,79.53805293
18,80.6187986
19,81.69954428
20,82.78028995
21,83.61749165
22,84.45469334
23,85.29189504
24,86.12909673
25,86.96629843
26,87.80350012
27,88.64070181
28,89.47790351
29,90.3151052
30,91.1523069
31,91.98950859
32,92.82671029
33,93.25202035
34,93.67733042
35,94.10264048
36,94.52795055
37,94.95326061
38,95.37857068
39,95.80388075
40,96.22919081
41,96.65450088
42,97.07981094
43,97.50512101
44,97.93043107
45,98.35574114
46,98.7810512
47,99.20636127
48,99.63167133
49,100.0569814
50,100.4822915
51,100.9076015
52,101.3329116
53,101.7582217
54,102.1835317
55,102.6088418
56,103.0341519
57,103.4594619
58,103.884772
59,104.3100821
60,104.7353921
61,105.1607022
62,105.5860122
63,106.0113223
64,106.4366324
65,106.4907197
66,106.5448071
67,106.5988945
68,106.6529819
69,106.7070692
70,106.7611566
71,106.8304699
72,107.4013983
73,107.9568315
74,108.4961893
75,109.0189324
76,109.524563
77,110.0126251
78,110.4827052
79,110.9344325
80,111.3674791
81,111.7815604
82,112.1764343
83,112.5519021
84,112.9078077
85,113.2440373
86,113.5605194
87,113.8572241
88,114.1341627
89,114.391387
90,114.6289887
91,114.8470987
92,115.0458861
93,115.2255578
94,115.386357
95,115.5285627
96,115.6524886
97,115.7584818
98,115.8469217
99,115.9182194
100,115.9728158
101,116.0111807
102,116.0338116
103,116.0412323
104,116.0412323
105,116.0412323
106,116.0412323
107,116.0412323
108,116.0412323
109,116.0412323
110,116.0412323
111,116.0412323
112,116.0412323
113,116.0412323
114,116.0412323
115,116.0412323
116,116.0412323
117,116.0412323
118,116.0412323
119,116.0412323
120,116.0412323
121,116.0412323
122,116.0412323
123,116.0412323
124,116.0412323
125,116.0412323
126,116.0412323
127,116.0412323
128,116.0412323
129,116.0603334
130,116.2732426
131,116.4861517
132,116.6990608
133,116.9119699
134,117.1248791
135,117.3377882
136,117.5506973
137,117.7636065
138,117.9765156
139,118.1894247
140,118.4023338
141,118.615243
142,118.8281521
143,119.0410612
144,119.2539704
145,119.4668795
146,119.6797886
147,119.8926977
148,120.1056069
149,120.318516
150,120.5314251
151,120.7443343
152,120.9572434
153,121.1701525
154,121.3830616
155,121.5959708
156,121.8088799
157,122.021789
158,122.2346982
159,122.4476073
160,122.6605164
161,122.9007941
162,123.1410717
163,123.3813494
164,123.6216271
165,123.8619047
166,124.1021824
167,124.34246
168,124.5827377
169,124.8230154
170,125.063293
171,125.3035707
172,125.5438483
173,125.784126
174,126.0244037
175,126.2646813
176,126.504959
177,126.7452367
178,126.9855143
179,127.225792
180,127.4660696
181,127.7063473
182,127.946625
183,128.1869026
184,128.4271803
185,128.6674579
186,128.9077356
187,129.1480133
188,129.3882909
189,129.6285686
190,129.8688462
191,130.1091239
192,130.3494016
193,131.0330779
194,131.7167543
195,132.4004307
196,133.084107
197,133.7677834
198,134.4514598
199,135.1351362
200,135.8188125
201,136.5024889
202,137.1861653
203,137.8698416
204,138.553518
205,139.2371944
206,139.9208707
207,140.6045471
208,141.2882235
209,141.9718998
210,142.6555762
211,143.3392526
212,144.022929
213,144.7066053
214,145.3902817
215,146.0739581
216,146.7576344
217,147.4413108
218,148.1249872
219,148.8086635
220,149.4923399
221,150.1760163
222,150.8596926
223,151.543369
224,152.2270454
225,153.5255936
226,154.8241418
227,156.12269
228,157.4212382
229,158.7197863
230,160.0183345
231,161.3168827
232,162.6154309
233,163.9139791
234,165.2125273
235,166.5110755
236,167.8096237
237,169.1081719
238,170.4067201
239,171.7052683
240,173.0038165
241,174.3023646
242,175.6009128
243,176.899461
244,178.1980092
245,179.4965574
246,180.7951056
247,182.0936538
248,183.392202
249,184.6907502
250,185.9892984
251,187.2878466
252,188.5863948
253,189.8849429
254,191.1834911
255,192.4820393
256,193.7805875
257,194.9262222
258,196.0718569
259,197.2174916
260,198.3631263
261,199.5087611
262,200.6543958
263,201.8000305
264,202.9456652
265,204.0912999
266,205.2369346
267,206.3825693
268,207.528204
269,208.6738387
270,209.8194734
271,210.9651081
272,212.1107428
273,213.2563775
274,214.4020122
275,215.5476469
276,216.6932816
277,217.8389164
278,218.9845511
279,220.1301858
280,221.2758205
281,222.4214552
282,223.5670899
283,224.7127246
284,225.8583593
285,227.003994
286,228.1496287
287,229.2952634
288,230.4408981
289,230.5992333
290,230.7575685
291,230.9159037
292,231.0742389
293,231.2325741
294,231.3909093
295,231.5492445
296,231.7075797
297,231.8659149
298,232.0242501
299,232.1825853
300,232.3409205
301,232.4992557
302,232.6575909
303,232.8159261
304,232.9742613
305,233.1325965
306,233.2909317
307,233.4492669
308,233.6076021
309,233.7659373
310,233.9242725
311,234.0826077
312,234.2409429
313,234.3992781
314,234.5576133
315,234.7159485
